-0.0056	7.5000e+00	1.9365e+00
-0.0048	1.0000e+01	2.2361e+00
-0.0040	1.0500e+01	2.2913e+00
-0.0032	1.0500e+01	2.2913e+00
-0.0023	9.0000e+00	2.1213e+00
-0.0015	1.1000e+01	2.3452e+00
-0.0007	1.3000e+01	2.5495e+00
0.0001	1.2500e+01	2.5000e+00
0.0009	1.6500e+01	2.8723e+00
0.0017	2.1000e+01	3.2404e+00
0.0026	5.5450e+02	1.6651e+01
0.0034	1.7014e+04	9.2232e+01
0.0042	1.8707e+04	9.6713e+01
0.0050	1.6042e+04	8.9561e+01
0.0058	1.1435e+04	7.5614e+01
0.0066	8.0685e+03	6.3516e+01
0.0075	4.7590e+03	4.8780e+01
0.0083	3.0345e+03	3.8952e+01
0.0091	2.3145e+03	3.4018e+01
0.0099	1.7640e+03	2.9698e+01
0.0107	1.3480e+03	2.5962e+01
0.0115	1.2585e+03	2.5085e+01
0.0124	1.3040e+03	2.5534e+01
0.0132	1.3495e+03	2.5976e+01
0.0140	1.5970e+03	2.8258e+01
0.0148	2.1350e+03	3.2673e+01
0.0156	3.1460e+03	3.9661e+01
0.0164	4.7120e+03	4.8539e+01
0.0173	5.6790e+03	5.3287e+01
0.0181	5.1605e+03	5.0796e+01
0.0189	3.7665e+03	4.3396e+01
0.0197	2.6835e+03	3.6630e+01
0.0205	2.1735e+03	3.2966e+01
0.0214	1.6945e+03	2.9108e+01
0.0222	1.4740e+03	2.7148e+01
0.0230	1.3370e+03	2.5855e+01
0.0238	1.2730e+03	2.5229e+01
0.0246	1.2150e+03	2.4648e+01
0.0254	1.2310e+03	2.4809e+01
0.0263	1.2290e+03	2.4789e+01
0.0271	1.3430e+03	2.5913e+01
0.0279	1.4300e+03	2.6739e+01
0.0287	1.4415e+03	2.6847e+01
0.0295	1.6640e+03	2.8844e+01
0.0303	1.7610e+03	2.9673e+01
0.0312	1.8525e+03	3.0434e+01
0.0320	1.9625e+03	3.1325e+01
0.0328	1.9800e+03	3.1464e+01
0.0336	1.9420e+03	3.1161e+01
0.0344	1.9095e+03	3.0899e+01
0.0352	1.7080e+03	2.9223e+01
0.0361	1.5585e+03	2.7915e+01
0.0369	1.3900e+03	2.6363e+01
0.0377	1.2175e+03	2.4673e+01
0.0385	1.1235e+03	2.3701e+01
0.0393	1.0200e+03	2.2583e+01
0.0401	9.9200e+02	2.2271e+01
0.0410	9.2050e+02	2.1453e+01
0.0418	9.2200e+02	2.1471e+01
0.0426	9.0150e+02	2.1231e+01
0.0434	8.8500e+02	2.1036e+01
0.0442	9.1750e+02	2.1418e+01
0.0450	9.0000e+02	2.1213e+01
0.0459	9.3350e+02	2.1604e+01
0.0467	9.3200e+02	2.1587e+01
0.0475	9.3900e+02	2.1668e+01
0.0483	9.6600e+02	2.1977e+01
0.0491	9.5450e+02	2.1846e+01
0.0499	9.2650e+02	2.1523e+01
0.0508	8.9250e+02	2.1125e+01
0.0516	8.3200e+02	2.0396e+01
0.0524	7.9100e+02	1.9887e+01
0.0532	7.4250e+02	1.9268e+01
0.0540	6.8500e+02	1.8507e+01
0.0548	6.0300e+02	1.7364e+01
0.0557	5.6050e+02	1.6741e+01
0.0565	5.4700e+02	1.6538e+01
0.0573	5.1500e+02	1.6047e+01
0.0581	5.1400e+02	1.6031e+01
